#### Tt stimuli! ####;;;;
id;sound1_filename;sound2_filename
1;Speaker1_faap_1.wav;Speaker1_faap_1.wav
2;Speaker2_faap_1.wav;Speaker2_faap_1.wav
3;Speaker3_faap_1.wav;Speaker3_faap_1.wav
4;Speaker4_faap_1.wav;Speaker4_faap_1.wav
5;Speaker1_faap_1.wav;Speaker1_faap_1.wav
6;Speaker2_faap_1.wav;Speaker2_faap_1.wav
7;Speaker3_faap_1.wav;Speaker3_faap_1.wav
8;Speaker4_faap_1.wav;Speaker4_faap_1.wav
9;Speaker1_faap_1.wav;Speaker1_faap_1.wav
10;Speaker2_faap_1.wav;Speaker2_faap_1.wav
11;Speaker3_faap_1.wav;Speaker3_faap_1.wav
12;Speaker4_faap_1.wav;Speaker4_faap_1.wav
